                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.20091,                 3.4556,                0.99898,                0.71434,                0.27385,                0.29483,                0.29469,                 0.1872,                 1.4161,                0.50281,             3.3977e-05,             3.3977e-05,             3.3977e-05
                      2,                0.07414,                 1.5838,                0.91038,                0.79892,                0.76388,                0.79492,                0.79402,                0.11255,                 0.5453,                0.37304,             6.1859e-05,             6.1859e-05,             6.1859e-05
                      3,                0.05395,                0.92081,                0.89235,                 0.8335,                0.93253,                0.89932,                 0.8989,                0.09041,                0.45855,                0.34407,             8.3621e-05,             8.3621e-05,             8.3621e-05
                      4,                0.04378,                0.71188,                0.88905,                0.87579,                0.96684,                0.91054,                0.90983,                0.10375,                0.44392,                0.35737,              7.446e-05,              7.446e-05,              7.446e-05
                      5,                0.03779,                0.58167,                0.88794,                0.86431,                0.96925,                0.90878,                0.90799,                0.10258,                0.43495,                 0.3526,              6.528e-05,              6.528e-05,              6.528e-05
                      6,                0.03285,                0.50603,                0.88448,                0.88564,                0.98159,                0.91443,                0.91034,                0.09714,                0.42654,                 0.3454,               5.61e-05,               5.61e-05,               5.61e-05
                      7,                    inf,                0.45432,                0.88513,                0.89767,                0.98736,                0.92387,                0.92075,                0.08341,                0.41659,                0.32763,              4.692e-05,              4.692e-05,              4.692e-05
                      8,                0.02675,                0.41727,                0.88577,                0.89473,                  0.988,                0.92217,                0.91922,                0.08747,                0.42825,                0.33288,              3.774e-05,              3.774e-05,              3.774e-05
