                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.21068,                0.89041,                0.99953,                 3.6581,              0.0084408,              0.0084408,              0.0084408
                     65,                0.20649,                0.88995,                0.99953,                 3.6568,               0.008416,               0.008416,               0.008416
                     66,                0.20746,                0.88925,                0.99953,                 3.6564,              0.0083913,              0.0083913,              0.0083913
                     67,                0.20697,                0.88902,                0.99953,                 3.6561,              0.0083665,              0.0083665,              0.0083665
                     68,                0.20523,                0.88972,                0.99977,                 3.6562,              0.0083418,              0.0083418,              0.0083418
                     69,                0.20192,                0.88902,                0.99977,                 3.6551,               0.008317,               0.008317,               0.008317
                     70,                0.20497,                0.88879,                0.99977,                  3.655,              0.0082922,              0.0082922,              0.0082922
                     71,                0.20607,                0.88832,                0.99977,                 3.6541,              0.0082675,              0.0082675,              0.0082675
                     72,                0.19452,                0.88902,                0.99977,                 3.6537,              0.0082428,              0.0082428,              0.0082428
                     73,                0.20336,                0.88972,                0.99977,                 3.6536,               0.008218,               0.008218,               0.008218
                     74,                0.19653,                0.88902,                0.99977,                 3.6539,              0.0081932,              0.0081932,              0.0081932
                     75,                0.19548,                0.88879,                0.99977,                 3.6537,              0.0081685,              0.0081685,              0.0081685
                     76,                0.19932,                0.88832,                0.99977,                 3.6532,              0.0081437,              0.0081437,              0.0081437
                     77,                0.19285,                0.88692,                0.99977,                  3.653,               0.008119,               0.008119,               0.008119
                     78,                 0.1991,                0.88623,                0.99977,                 3.6524,              0.0080942,              0.0080942,              0.0080942
                     79,                0.19151,                0.88646,                0.99977,                 3.6527,              0.0080695,              0.0080695,              0.0080695
                     80,                0.18905,                0.88716,                0.99977,                 3.6522,              0.0080447,              0.0080447,              0.0080447
                     81,                0.18679,                0.88599,                0.99977,                 3.6516,                0.00802,                0.00802,                0.00802
                     82,                0.18892,                0.88553,                0.99977,                 3.6523,              0.0079953,              0.0079953,              0.0079953
                     83,                0.19212,                0.88599,                0.99977,                 3.6514,              0.0079705,              0.0079705,              0.0079705
                     84,                0.18596,                0.88599,                0.99977,                 3.6511,              0.0079457,              0.0079457,              0.0079457
                     85,                0.18733,                0.88436,                0.99977,                 3.6513,               0.007921,               0.007921,               0.007921
                     86,                0.18531,                 0.8846,                0.99977,                 3.6512,              0.0078963,              0.0078963,              0.0078963
                     87,                0.18549,                0.88483,                0.99977,                  3.652,              0.0078715,              0.0078715,              0.0078715
                     88,                0.18727,                0.88436,                0.99977,                 3.6507,              0.0078467,              0.0078467,              0.0078467
                     89,                0.18059,                 0.8846,                0.99977,                 3.6506,               0.007822,               0.007822,               0.007822
                     90,                0.18323,                0.88436,                0.99977,                 3.6505,              0.0077973,              0.0077973,              0.0077973
                     91,                0.18303,                0.88483,                0.99977,                 3.6509,              0.0077725,              0.0077725,              0.0077725
                     92,                0.17613,                 0.8846,                0.99977,                 3.6504,              0.0077478,              0.0077478,              0.0077478
                     93,                0.17964,                0.88436,                0.99977,                 3.6504,               0.007723,               0.007723,               0.007723
                     94,                0.17557,                0.88413,                0.99977,                   3.65,              0.0076983,              0.0076983,              0.0076983
                     95,                0.17803,                0.88436,                0.99977,                 3.6499,              0.0076735,              0.0076735,              0.0076735
                     96,                0.17309,                0.88436,                0.99977,                 3.6502,              0.0076488,              0.0076488,              0.0076488
                     97,                0.17279,                 0.8846,                0.99977,                 3.6499,               0.007624,               0.007624,               0.007624
                     98,                0.17459,                 0.8846,                0.99977,                 3.6492,              0.0075993,              0.0075993,              0.0075993
                     99,                0.18145,                0.88436,                0.99977,                  3.649,              0.0075745,              0.0075745,              0.0075745
                    100,                0.17272,                0.88343,                0.99977,                 3.6489,              0.0075498,              0.0075498,              0.0075498
                    101,                0.17358,                0.88436,                0.99977,                 3.6488,               0.007525,               0.007525,               0.007525
                    102,                0.17251,                 0.8846,                0.99977,                 3.6491,              0.0075003,              0.0075003,              0.0075003
                    103,                 0.1772,                0.88483,                0.99977,                 3.6488,              0.0074755,              0.0074755,              0.0074755
                    104,                0.16634,                 0.8853,                0.99977,                 3.6478,              0.0074507,              0.0074507,              0.0074507
                    105,                0.17056,                 0.8853,                0.99977,                 3.6479,               0.007426,               0.007426,               0.007426
                    106,                 0.1664,                0.88553,                0.99977,                 3.6478,              0.0074013,              0.0074013,              0.0074013
                    107,                 0.1666,                0.88553,                0.99977,                 3.6479,              0.0073765,              0.0073765,              0.0073765
                    108,                0.16407,                0.88599,                0.99977,                 3.6472,              0.0073517,              0.0073517,              0.0073517
                    109,                0.16689,                0.88692,                0.99977,                 3.6475,               0.007327,               0.007327,               0.007327
                    110,                0.16363,                0.88669,                0.99977,                  3.647,              0.0073023,              0.0073023,              0.0073023
                    111,                0.17019,                0.88692,                0.99977,                 3.6464,              0.0072775,              0.0072775,              0.0072775
