                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.04462,                0.51263,                 0.8809,                0.90747,                0.99185,                0.93577,                0.93571,                0.08029,                0.24254,                0.31872,               0.005545,               0.005545,               0.005545
                     38,                0.04295,                0.51541,                0.88058,                0.90958,                0.99218,                0.93701,                0.93685,                 0.0855,                0.24504,                0.32467,              0.0054212,              0.0054212,              0.0054212
                     39,                0.04388,                0.51181,                0.88123,                0.90986,                0.99158,                0.93715,                0.93708,                 0.0808,                0.23668,                0.31841,              0.0052975,              0.0052975,              0.0052975
                     40,                0.04264,                0.50895,                0.88043,                0.91044,                0.99202,                0.93755,                0.93753,                0.07844,                0.23183,                0.31548,              0.0051737,              0.0051737,              0.0051737
                     41,                0.04169,                0.50543,                0.88095,                0.91229,                0.99105,                 0.9384,                0.93837,                0.07832,                0.22886,                0.31517,                0.00505,                0.00505,                0.00505
                     42,                0.04025,                0.49947,                0.88018,                 0.9147,                0.99074,                0.93939,                0.93936,                0.07876,                0.22975,                0.31562,              0.0049263,              0.0049263,              0.0049263
                     43,                0.03996,                0.49004,                0.87934,                0.91596,                0.99036,                0.93993,                0.93993,                0.07723,                0.22646,                0.31394,              0.0048025,              0.0048025,              0.0048025
                     44,                0.03901,                0.48869,                0.88044,                0.91741,                0.99031,                0.94045,                0.94045,                0.07902,                0.22629,                0.31561,              0.0046788,              0.0046788,              0.0046788
                     45,                0.03925,                0.48621,                0.87983,                0.91934,                0.99083,                0.94097,                0.94097,                0.07833,                0.22419,                0.31481,               0.004555,               0.004555,               0.004555
                     46,                 0.0374,                0.48011,                0.87976,                0.91931,                0.99133,                0.94195,                0.94195,                0.07516,                0.21999,                0.31143,              0.0044313,              0.0044313,              0.0044313
                     47,                    inf,                0.48011,                0.87912,                 0.9202,                0.99106,                0.94288,                0.94288,                0.07278,                0.21722,                0.30934,              0.0043075,              0.0043075,              0.0043075
                     48,                    inf,                 0.4756,                0.88068,                0.92031,                0.99109,                0.94343,                0.94343,                0.07097,                0.21501,                0.30758,              0.0041837,              0.0041837,              0.0041837
                     49,                    inf,                 0.4709,                0.87962,                0.92054,                0.99094,                0.94419,                0.94419,                0.07059,                0.21384,                 0.3071,                0.00406,                0.00406,                0.00406
                     50,                0.03468,                 0.4691,                0.88117,                0.92099,                0.99097,                0.94475,                0.94475,                0.06976,                0.21187,                0.30625,              0.0039362,              0.0039362,              0.0039362
                     51,                    inf,                0.46365,                0.88012,                0.92129,                0.99116,                0.94526,                0.94526,                0.06996,                0.21063,                0.30626,              0.0038125,              0.0038125,              0.0038125
                     52,                    inf,                0.46026,                0.87959,                0.92209,                 0.9913,                0.94569,                0.94569,                0.06874,                0.20823,                0.30508,              0.0036888,              0.0036888,              0.0036888
                     53,                0.03324,                0.45666,                0.87969,                0.92248,                0.99133,                0.94584,                0.94584,                0.06788,                0.20649,                  0.304,               0.003565,               0.003565,               0.003565
                     54,                0.03155,                0.45112,                0.87824,                0.92235,                0.99129,                0.94589,                0.94589,                0.06725,                0.20523,                0.30323,              0.0034413,              0.0034413,              0.0034413
                     55,                0.03149,                 0.4509,                0.87855,                0.92235,                0.99151,                0.94619,                0.94619,                0.06755,                0.20503,                0.30338,              0.0033175,              0.0033175,              0.0033175
                     56,                 0.0304,                0.44306,                0.87768,                0.92214,                0.99122,                0.94619,                0.94619,                0.06746,                 0.2041,                 0.3031,              0.0031938,              0.0031938,              0.0031938
                     57,                0.02982,                0.43686,                0.87858,                0.92186,                0.99121,                0.94651,                0.94651,                0.06737,                0.20321,                0.30301,                0.00307,                0.00307,                0.00307
                     58,                    inf,                0.42978,                0.87723,                0.92208,                0.99156,                0.94657,                0.94657,                0.06733,                0.20247,                 0.3029,              0.0029462,              0.0029462,              0.0029462
                     59,                0.02958,                 0.4385,                 0.8793,                0.92216,                0.99146,                0.94687,                0.94687,                0.06723,                0.20159,                0.30271,              0.0028225,              0.0028225,              0.0028225
                     60,                    inf,                 0.4313,                0.87768,                0.92244,                0.99128,                0.94717,                0.94717,                0.06709,                0.20087,                0.30266,              0.0026987,              0.0026987,              0.0026987
                     61,                    inf,                0.42873,                0.87862,                0.92267,                0.99123,                0.94732,                0.94732,                 0.0669,                0.20052,                0.30272,               0.002575,               0.002575,               0.002575
                     62,                    inf,                0.42318,                0.87878,                0.92364,                0.98956,                0.94779,                0.94779,                  0.067,                0.20018,                0.30292,              0.0024513,              0.0024513,              0.0024513
                     63,                0.02576,                0.41693,                0.87728,                0.92366,                0.98959,                0.94782,                0.94782,                0.06694,                 0.1998,                0.30289,              0.0023275,              0.0023275,              0.0023275
                     64,                    inf,                0.41246,                0.87602,                0.92435,                0.98947,                0.94826,                0.94826,                  0.067,                0.19914,                0.30302,              0.0022038,              0.0022038,              0.0022038
                     65,                    inf,                0.40892,                0.87696,                0.92483,                0.98972,                0.94852,                0.94852,                0.06684,                 0.1984,                0.30304,                0.00208,                0.00208,                0.00208
                     66,                0.02495,                0.40702,                0.87785,                0.92508,                0.99002,                0.94895,                0.94895,                0.06667,                0.19781,                0.30304,              0.0019563,              0.0019563,              0.0019563
                     67,                    inf,                0.40348,                0.87794,                0.92546,                0.99003,                0.94922,                0.94922,                 0.0664,                0.19717,                0.30286,              0.0018325,              0.0018325,              0.0018325
                     68,                 0.0232,                0.40044,                0.87771,                0.92606,                0.98989,                0.94962,                0.94962,                0.06611,                0.19656,                0.30252,              0.0017087,              0.0017087,              0.0017087
                     69,                    inf,                0.39794,                0.87744,                0.92681,                 0.9895,                 0.9498,                 0.9498,                0.06563,                0.19543,                  0.302,               0.001585,               0.001585,               0.001585
                     70,                    inf,                 0.3967,                0.87794,                0.92724,                0.98957,                0.95016,                0.95016,                0.06505,                0.19459,                 0.3014,              0.0014612,              0.0014612,              0.0014612
                     71,                    inf,                0.16459,                0.88092,                0.92723,                0.98955,                0.95026,                0.95026,                0.06477,                  0.194,                0.30109,              0.0013375,              0.0013375,              0.0013375
                     72,                0.02405,                0.16064,                0.87891,                0.92714,                0.98937,                0.95044,                0.95044,                0.06446,                0.19324,                0.30072,              0.0012138,              0.0012138,              0.0012138
                     73,                 0.0207,                0.15619,                0.88074,                0.92733,                0.98966,                0.95072,                0.95072,                 0.0647,                0.19312,                 0.3009,                0.00109,                0.00109,                0.00109
                     74,                0.01979,                0.15617,                0.87952,                0.92769,                0.98997,                0.95113,                0.95113,                0.06475,                0.19249,                0.30095,             0.00096625,             0.00096625,             0.00096625
                     75,                0.01801,                0.14997,                0.87824,                0.92791,                0.98999,                 0.9513,                 0.9513,                0.06447,                0.19133,                0.30062,              0.0008425,              0.0008425,              0.0008425
                     76,                0.01666,                0.14403,                 0.8775,                0.92835,                0.98988,                 0.9517,                 0.9517,                0.06407,                0.19011,                 0.3002,             0.00071875,             0.00071875,             0.00071875
                     77,                0.01574,                0.14086,                0.87697,                0.92886,                0.98989,                0.95184,                0.95184,                 0.0637,                0.18912,                 0.2998,               0.000595,               0.000595,               0.000595
                     78,                0.01481,                0.13894,                 0.8765,                 0.9291,                0.98974,                0.95196,                0.95196,                0.06311,                0.18783,                0.29913,             0.00047125,             0.00047125,             0.00047125
                     79,                0.01395,                0.13361,                0.87697,                0.92927,                0.98979,                0.95216,                0.95216,                0.06263,                0.18668,                0.29856,              0.0003475,              0.0003475,              0.0003475
                     80,                0.01311,                0.12774,                0.87722,                0.92957,                0.98974,                 0.9523,                 0.9523,                0.06215,                0.18545,                0.29803,             0.00022375,             0.00022375,             0.00022375
