                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.84656,                0.53138,                 1.0653,                0.92792,                 0.9173,                0.96813,                0.74597,                0.85637,                0.50093,                 1.0038,              0.0018776,              0.0018776,              0.0018776
                     36,                0.83213,                0.52413,                 1.0582,                0.91565,                0.93355,                0.96678,                0.75675,                0.83963,                0.47881,                0.99938,               0.001874,               0.001874,               0.001874
                     37,                0.83519,                  0.529,                 1.0525,                0.90528,                0.92383,                0.96184,                0.74379,                0.87906,                0.50714,                 1.0263,              0.0018704,              0.0018704,              0.0018704
                     38,                0.83529,                0.53406,                 1.0658,                0.91569,                0.90735,                0.96705,                0.76451,                0.84392,                0.48499,                0.99895,              0.0018668,              0.0018668,              0.0018668
                     39,                0.82489,                0.50723,                 1.0494,                0.91948,                0.91892,                0.97094,                0.76629,                0.82597,                0.47641,                0.99669,              0.0018632,              0.0018632,              0.0018632
                     40,                0.82752,                0.52426,                 1.0566,                0.92992,                0.91892,                0.96967,                0.76144,                0.84474,                0.50193,                 0.9993,              0.0018596,              0.0018596,              0.0018596
                     41,                0.83287,                0.51787,                 1.0513,                0.90311,                0.92383,                0.96534,                 0.7507,                0.85033,                 0.4878,                 1.0088,               0.001856,               0.001856,               0.001856
                     42,                0.83498,                0.51842,                 1.0565,                0.90281,                0.93857,                0.96997,                0.74399,                 0.8825,                0.51179,                  1.031,              0.0018524,              0.0018524,              0.0018524
                     43,                0.81983,                 0.5053,                 1.0497,                0.91953,                0.92652,                0.97285,                0.76559,                 0.8371,                0.46821,                0.99902,              0.0018488,              0.0018488,              0.0018488
                     44,                0.81834,                0.50797,                 1.0339,                 0.9224,                 0.9346,                0.97235,                0.75381,                0.84253,                0.48712,                0.99792,              0.0018452,              0.0018452,              0.0018452
                     45,                0.82104,                0.50912,                 1.0448,                0.92297,                 0.9312,                0.97171,                0.75361,                0.87322,                0.48609,                 1.0115,              0.0018416,              0.0018416,              0.0018416
                     46,                0.82065,                0.50719,                 1.0419,                0.93008,                  0.914,                0.97022,                0.77172,                0.81967,                 0.4509,                0.99769,               0.001838,               0.001838,               0.001838
                     47,                0.82433,                0.50206,                 1.0589,                 0.9323,                0.91357,                0.96965,                  0.767,                0.82702,                0.46137,                0.99345,              0.0018344,              0.0018344,              0.0018344
                     48,                0.81032,                0.49438,                 1.0465,                0.93722,                0.89926,                0.96131,                0.75352,                0.83438,                0.52556,                 1.0042,              0.0018308,              0.0018308,              0.0018308
                     49,                0.81686,                 0.4948,                 1.0361,                0.91223,                0.93366,                0.97174,                0.76941,                0.81901,                0.47524,                0.99167,              0.0018272,              0.0018272,              0.0018272
                     50,                0.80356,                 0.4973,                 1.0478,                0.91229,                0.93366,                0.96542,                0.75387,                0.83489,                  0.483,                0.99741,              0.0018236,              0.0018236,              0.0018236
                     51,                0.79958,                0.49156,                 1.0415,                0.93646,                0.91155,                0.96319,                0.75341,                0.85261,                0.47371,                 1.0013,                0.00182,                0.00182,                0.00182
                     52,                0.80883,                0.49668,                   1.04,                0.91664,                0.93857,                0.96904,                0.76344,                 0.8407,                0.45069,                0.99704,              0.0018164,              0.0018164,              0.0018164
                     53,                0.78819,                0.48422,                 1.0233,                0.92052,                0.91065,                0.96249,                0.75465,                0.82464,                0.47531,                0.99168,              0.0018128,              0.0018128,              0.0018128
                     54,                0.79717,                0.47914,                 1.0397,                0.92367,                0.92175,                0.97278,                0.77283,                0.81757,                0.44696,                0.99182,              0.0018092,              0.0018092,              0.0018092
                     55,                 0.7928,                0.48222,                 1.0356,                0.90821,                0.94595,                0.97322,                0.77416,                0.82769,                0.45141,                0.99363,              0.0018056,              0.0018056,              0.0018056
                     56,                 0.7965,                0.47114,                 1.0269,                0.92062,                0.91181,                0.97285,                0.76384,                0.84695,                0.45017,                 1.0039,               0.001802,               0.001802,               0.001802
                     57,                0.79634,                0.47431,                 1.0364,                0.92233,                0.92629,                0.97089,                0.75854,                0.85855,                0.47744,                 1.0064,              0.0017984,              0.0017984,              0.0017984
                     58,                0.80022,                 0.4985,                 1.0284,                 0.9009,                0.93813,                0.97423,                0.77819,                0.82089,                0.46331,                0.99521,              0.0017948,              0.0017948,              0.0017948
                     59,                0.80323,                 0.4831,                 1.0359,                 0.9017,                0.94655,                0.97307,                0.76825,                0.81069,                0.46429,                0.98255,              0.0017912,              0.0017912,              0.0017912
                     60,                0.80753,                0.49419,                 1.0451,                0.90415,                0.93857,                0.97474,                0.76757,                0.82449,                0.46341,                0.99538,              0.0017876,              0.0017876,              0.0017876
                     61,                0.77662,                 0.4677,                 1.0193,                0.92917,                0.93472,                0.97205,                0.75406,                0.82928,                0.47842,                0.99668,               0.001784,               0.001784,               0.001784
                     62,                0.79531,                0.47455,                 1.0285,                0.90583,                0.93612,                0.97446,                0.77115,                0.82346,                0.44862,                 0.9857,              0.0017804,              0.0017804,              0.0017804
                     63,                0.78463,                0.46177,                 1.0217,                0.89842,                0.93612,                0.97109,                0.77185,                0.83079,                0.45091,                0.99032,              0.0017768,              0.0017768,              0.0017768
                     64,                0.78126,                0.46788,                 1.0136,                0.91324,                0.92383,                0.96864,                0.76616,                0.81413,                0.48467,                0.99286,              0.0017732,              0.0017732,              0.0017732
                     65,                0.77577,                0.47223,                 1.0152,                 0.9007,                 0.9312,                0.97424,                0.77774,                 0.8044,                0.45035,                0.98209,              0.0017696,              0.0017696,              0.0017696
                     66,                0.75721,                0.44487,                 1.0112,                0.91625,                0.92629,                0.97523,                0.77405,                0.81046,                 0.4373,                0.99333,               0.001766,               0.001766,               0.001766
                     67,                0.77383,                0.45692,                 1.0197,                0.91586,                0.92629,                0.97445,                0.77593,                0.82316,                0.43229,                0.99689,              0.0017624,              0.0017624,              0.0017624
                     68,                0.76602,                0.46088,                 1.0289,                 0.9237,                0.92214,                0.96946,                0.76302,                0.81291,                0.47579,                0.98936,              0.0017588,              0.0017588,              0.0017588
                     69,                0.78494,                0.46409,                 1.0269,                0.91959,                0.92721,                0.97143,                0.77278,                0.83338,                0.44913,                0.99832,              0.0017552,              0.0017552,              0.0017552
                     70,                 0.7659,                 0.4646,                 1.0127,                0.94275,                0.89005,                0.97117,                0.77219,                0.82056,                0.44659,                0.99368,              0.0017516,              0.0017516,              0.0017516
